Date,Total Vehicles,eFourWheeler,eTwoWheeler,eightWheeler,fourWheeler,hFourWheeler,hTwoWheeler,sixWheeler,threeWheeler,twoWheeler
2026-01-25,11054,23,232,0,1806,3,31,0,1811,8954
2026-01-26,12841,33,275,0,1940,4,22,0,1951,10556
2026-01-27,23008,68,576,0,2431,6,67,7,2438,19846
2026-01-28,23268,48,540,0,2432,5,53,8,2441,20173
2026-01-29,23202,53,575,0,2349,10,69,8,2358,20129
2026-01-30,22778,61,544,0,2481,7,69,7,2489,19601
2026-01-31,19420,49,395,0,2536,11,47,4,2542,16372
2026-02-01,13301,29,253,0,1888,6,41,0,1896,11076
2026-02-02,22717,58,581,0,2390,8,60,8,2398,19604
2026-02-03,23338,50,558,0,2382,4,72,9,2391,20254
2026-02-04,22976,54,576,0,2396,2,65,8,2402,19869
2026-02-05,23146,69,547,0,2393,5,72,10,2398,20045
2026-02-06,22756,59,559,0,2381,6,65,10,2388,19669
2026-02-07,19170,44,414,0,2458,5,51,5,2464,16187
2026-02-08,13454,24,288,0,1862,4,23,0,1865,11250
2026-02-09,23004,65,542,0,2399,5,65,9,2407,19911
2026-02-10,23756,56,577,0,2395,10,75,9,2402,20627
2026-02-11,23393,62,569,0,2427,7,67,9,2432,20247
2026-02-12,23351,50,584,0,2373,4,62,9,2378,20264
